Power_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
40,9.684211,4.263158,24.631579,86.406099,25560403.473684,4725140.421053,297456.523265,132.184487,39.144492
50,10.294118,13.176471,46.176471,43.937279,26369485.176471,10594804.411765,602461.617515,83.103938,49.939642
60,8.550000,18.300000,53.950000,32.946496,26242095.000000,14779921.900000,796984.244670,74.536281,59.373729
70,5.250000,17.900000,51.150000,28.665102,25767276.450000,14930410.600000,900283.378313,74.395072,66.788947
80,2.000000,18.800000,49.650000,25.031806,25787110.550000,16385050.400000,1031969.565344,72.822091,74.991904
90,0.368421,19.105263,44.105263,22.840911,25031765.842105,16432778.052632,1097148.527661,77.312501,83.437493
100,0.100000,19.650000,43.150000,22.459361,25747807.600000,17307325.750000,1147567.691062,74.137840,84.744496
110,0.105263,19.578947,43.315789,22.287976,25828341.526316,17021169.157895,1159545.721685,73.318378,84.754306
TS,0.000000,11.750000,8.750000,26.311629,26111558.800000,10211712.100000,1011264.572058,84.425225,84.520850
STATIC,0.000000,20.000000,1.000000,19.155164,25707833.684211,17984816.842105,1342916.618643,72.936140,97.610838
